state,percentile,income
Negeri Sembilan,62,6793
Negeri Sembilan,63,6928
Negeri Sembilan,64,7056
Negeri Sembilan,65,7200
Negeri Sembilan,66,7336
Negeri Sembilan,67,7474
Negeri Sembilan,68,7581
Negeri Sembilan,69,7755
Negeri Sembilan,70,7906
Negeri Sembilan,71,8050
Negeri Sembilan,72,8185
Negeri Sembilan,73,8286
Negeri Sembilan,74,8425
Negeri Sembilan,75,8613
Negeri Sembilan,76,8808
Negeri Sembilan,77,8986
Negeri Sembilan,78,9172
Negeri Sembilan,79,9369
Negeri Sembilan,80,9739
Negeri Sembilan,81,10136
Negeri Sembilan,82,10484
Negeri Sembilan,83,10770
Negeri Sembilan,84,10913
Negeri Sembilan,85,11149
Negeri Sembilan,86,11649
Negeri Sembilan,87,12566
Negeri Sembilan,88,12852
Negeri Sembilan,89,13159
Negeri Sembilan,90,13563
Negeri Sembilan,91,13854
Negeri Sembilan,92,14297
Negeri Sembilan,93,14937
Negeri Sembilan,94,15848
Negeri Sembilan,95,16932
Pahang,1,1428
Pahang,2,1855
Pahang,3,2018
Pahang,4,2167
Pahang,5,2319
Pahang,6,2419
Pahang,7,2494
Pahang,8,2555
Pahang,9,2651
Pahang,10,2716
Pahang,11,2766
Pahang,12,2816
Pahang,13,2881
Pahang,14,2928
Pahang,15,2987
Pahang,16,3048
Pahang,17,3077
Pahang,18,3114
Pahang,19,3164
Pahang,20,3233
Pahang,21,3281
Pahang,22,3336
Pahang,23,3386
Pahang,24,3437
Pahang,25,3484
Pahang,26,3535
Pahang,27,3562
Pahang,28,3629
Pahang,29,3672
Pahang,30,3745
Pahang,31,3802
Pahang,32,3851
Pahang,33,3919
Pahang,34,3964
Pahang,35,4018
Pahang,36,4076
Pahang,37,4132
Pahang,38,4199
Pahang,39,4247
Pahang,40,4306
Pahang,41,4356
Pahang,42,4410
Pahang,43,4490
Pahang,44,4570
Pahang,45,4640
Pahang,46,4711
Pahang,47,4772
Pahang,48,4824
Pahang,49,4883
Pahang,50,4947
Pahang,51,5011
Pahang,52,5067
Pahang,53,5097
Pahang,54,5163
Pahang,55,5216
Pahang,56,5273
Pahang,57,5333
Pahang,58,5380
Pahang,59,5448
Pahang,60,5516
Pahang,61,5578
Pahang,62,5645
Pahang,63,5718
Pahang,64,5779
Pahang,65,5825
Pahang,66,5903
Pahang,67,5958
Pahang,68,6164
Pahang,69,6306
Pahang,70,6365
Pahang,71,6448
Pahang,72,6508
Pahang,73,6570
Pahang,74,6621
Pahang,75,6711
Pahang,76,6824
Pahang,77,6911
Pahang,78,7016
Pahang,79,7410
Pahang,80,7925
Pahang,81,8188
Pahang,82,8365
Pahang,83,8517
Pahang,84,8779
Pahang,85,9018
Pahang,86,9305
Pahang,87,9575
Pahang,88,9851
Pahang,89,10245
Pahang,90,10668
Pahang,91,11070
Pahang,92,11656
Pahang,93,12068
Pahang,94,12795
Pahang,95,13646
Perak,1,1181
Perak,2,1585
Perak,3,1781
Perak,4,1913
Perak,5,2051
Perak,6,2086
Perak,7,2119
Perak,8,2171
Perak,9,2218
Perak,10,2268
Perak,11,2309
Perak,12,2373
Perak,13,2448
Perak,14,2500
Perak,15,2552
Perak,16,2604
Perak,17,2659
Perak,18,2728
Perak,19,2798
Perak,20,2861
Perak,21,2914
Perak,22,2972
Perak,23,3048
Perak,24,3082
Perak,25,3120
Perak,26,3171
Perak,27,3206
Perak,28,3253
Perak,29,3306
Perak,30,3364
Perak,31,3416
Perak,32,3466
Perak,33,3513
Perak,34,3582
Perak,35,3638
Perak,36,3693
Perak,37,3748
Perak,38,3809
Perak,39,3868
Perak,40,3933
Perak,41,4001
Perak,42,4070
Perak,43,4142
Perak,44,4230
Perak,45,4298
Perak,46,4353
Perak,47,4422
Perak,48,4489
Perak,49,4554
Perak,50,4645
Perak,51,4721
Perak,52,4823
Perak,53,4905
Perak,54,5035
Perak,55,5109
Perak,56,5208
Perak,57,5301
Perak,58,5372
Perak,59,5459
Perak,60,5546
Perak,61,5653
Perak,62,5754
Perak,63,5836
Perak,64,5924
Perak,65,6006
Perak,66,6110
Perak,67,6273
Perak,68,6372
Perak,69,6474
Perak,70,6573
Perak,71,6665
Perak,72,6787
Perak,73,6874
Perak,74,6972
